borrower_id,loan_amount,credit_score,annual_income,dti_ratio,employment_length_years,num_existing_loans,account_age_months,declared_purpose,primary_mcc_category,secondary_mcc_category,mcc_mismatch_flag,days_to_first_tx,pct_spent_48h,pct_spent_7d,cash_withdrawal_ratio,high_risk_spend_ratio,international_tx_ratio,nighttime_tx_ratio,num_unique_merchants,num_total_transactions,avg_tx_amount,max_single_tx_pct,is_flagged_misuse
BW-00001,40581.31,724,148959.45,0.375,2,2,62,Debt Consolidation,Luxury Travel,Crypto Exchange,0,22,0.063,0.144,0.552,0.096,0.037,0.106,12,26,1503.01,0.433,0
BW-00002,95317.86,788,177186.24,0.341,8,6,103,Equipment Purchase,Casino,Luxury Travel,1,20,0.965,1.0,0.524,0.646,0.35,0.122,21,35,2647.72,0.835,1
BW-00003,74539.42,809,169873.34,0.436,23,0,76,Debt Consolidation,Crypto Exchange,Luxury Travel,0,3,0.023,0.36,0.47,0.828,0.365,0.461,24,37,1961.56,0.479,0
BW-00004,61872.56,712,170079.89,0.443,21,4,112,Education,ATM Cash,Casino,0,29,0.59,0.806,0.125,0.124,0.422,0.247,2,4,12374.51,0.863,0
BW-00005,19821.77,597,90333.56,0.173,16,0,69,Medical,Retail,ATM Cash,0,14,0.776,0.905,0.168,0.057,0.277,0.243,2,9,1982.18,0.178,0
BW-00006,19819.48,665,100318.48,0.516,13,7,63,Debt Consolidation,Luxury Travel,Casino,0,5,0.788,0.979,0.208,0.038,0.363,0.58,11,29,660.65,0.249,0
BW-00007,10517.94,774,135845.31,0.252,9,6,2,Education,Luxury Travel,Luxury Travel,0,22,0.034,0.239,0.736,0.137,0.151,0.268,8,18,553.58,0.822,0
BW-00008,87286.73,696,168328.79,0.598,12,6,54,Equipment Purchase,Crypto Exchange,Casino,1,27,0.906,1.0,0.608,0.5,0.373,0.557,6,9,8728.67,0.796,1
BW-00009,62105.93,612,51299.14,0.55,11,6,16,Medical,ATM Cash,Luxury Travel,0,29,0.918,1.0,0.442,0.141,0.172,0.179,18,32,1882.0,0.36,0
BW-00010,72266.89,843,75636.28,0.29,0,5,55,Debt Consolidation,ATM Cash,Equipment Vendor,0,26,0.561,0.859,0.202,0.069,0.451,0.24,22,31,2258.34,0.607,0
BW-00011,6955.53,562,50887.03,0.544,21,4,94,Education,Luxury Travel,Crypto Exchange,0,4,0.482,0.579,0.089,0.149,0.082,0.238,29,48,141.95,0.425,0
BW-00012,97141.44,738,121801.28,0.296,18,0,111,Medical,Luxury Travel,Casino,0,11,0.045,0.279,0.719,0.081,0.158,0.328,11,21,4415.52,0.109,0
BW-00013,84082.05,836,75945.15,0.156,18,0,43,Medical,Luxury Travel,Luxury Travel,0,6,0.562,0.837,0.714,0.114,0.249,0.351,24,32,2547.94,0.122,0
BW-00014,25172.22,757,78916.18,0.629,5,7,61,Business Expansion,Luxury Travel,Casino,0,2,0.409,0.465,0.089,0.001,0.388,0.149,6,22,1094.44,0.146,0
BW-00015,22273.37,663,40637.39,0.459,12,2,38,Medical,Casino,ATM Cash,0,6,0.773,0.916,0.638,0.599,0.374,0.476,9,17,1237.41,0.605,0
BW-00016,22423.43,571,82469.41,0.351,18,0,45,Education,Casino,Crypto Exchange,0,11,0.404,0.766,0.357,0.762,0.105,0.298,22,30,723.34,0.337,0
BW-00017,33903.01,763,159374.48,0.319,12,7,51,Equipment Purchase,ATM Cash,Equipment Vendor,1,14,0.684,0.911,0.259,0.117,0.072,0.004,14,22,1474.04,0.222,0
BW-00018,54851.86,720,64960.92,0.279,21,4,42,Business Expansion,Equipment Vendor,Retail,0,18,0.101,0.188,0.591,0.024,0.152,0.355,19,20,2611.99,0.9,0
BW-00019,46034.78,603,134278.12,0.64,20,5,24,Education,Retail,Retail,0,29,0.133,0.182,0.491,0.063,0.242,0.479,25,37,1211.44,0.203,0
BW-00020,32666.77,847,124444.25,0.174,3,2,115,Education,Crypto Exchange,Casino,0,5,0.14,0.347,0.624,0.594,0.27,0.15,26,26,1209.88,0.673,1
BW-00021,63126.02,675,159522.69,0.273,23,7,30,Education,Equipment Vendor,Luxury Travel,0,7,0.046,0.265,0.059,0.016,0.215,0.023,21,26,2338.0,0.86,0
